(1)Parameters in simulations

  SmplSize   NumLoci Constrain KnownAlleleFre
        18         9         1         0

 Number of observed alleles at each locus
  3  4  2  3  3  4  3  2  2

 Allele frequency

 Locus:        1
     127     121     125
  0.8056  0.1667  0.0278

 Locus:        2
     288     286     290     274
  0.7500  0.0833  0.0278  0.1389

 Locus: 3
227 229
0.4722 0.5278

 Locus:        4
     291     307     303
  0.2500  0.4167  0.3333

 Locus:        5
     166     172     160
  0.1111  0.6944  0.1944

 Locus:        6
     257     261     251     249
  0.3056  0.5833  0.0278  0.0833

 Locus:        7
     359     361     355
  0.7222  0.1944  0.0833

 Locus: 8
133 137
0.3333 0.6667

 Locus: 9
247 255
0.7778 0.2222


(2)Point estimate of R for each dyad

Pair,Ind1,Ind2,TrioEst,WEst,LLEst,LREst,REst,QGEst,MEst,LSEst
77,VE_20,VE_22,0.1001,2.3122,0.8480,0.2893
78,VE_20,VE_23,0.0000,6.9120,-0.7451,0.0000
79,VE_20,VE_24,0.0000,4.0232,-0.6176,0.0000
80,VE_20,VE_25,0.0000,6.8646,-0.1500,0.0000
81,VE_20,VE_26,0.0000,0.4208,-0.5277,0.0000
82,VE_20,VE_27,0.3318,3.0499,1.0205,0.5534
83,VE_20,VE_28,0.0000,-7.4608,-0.2013,0.0000
84,VE_20,VE_29,0.0000,3.8945,-0.4046,0.0000
85,VE_20,VE_30,0.0000,-7.3595,-0.3548,0.0000
86,VE_20,VE_31,0.0000,-0.6726,-0.2794,0.0000
87,VE_20,VE_32,0.0000,5.7904,-0.3412,0.0000
88,VE_21,VE_22,0.0000,1.1192,0.4444,0.0000
89,VE_21,VE_23,0.0232,-9.5425,0.9313,0.0351
90,VE_21,VE_24,0.0000,2.3665,-0.0464,0.0000
91,VE_21,VE_25,0.0000,-3.7448,-1.5453,0.0000
92,VE_21,VE_26,0.0000,1.2204,0.6026,0.0000
93,VE_21,VE_27,0.0000,6.0918,0.1732,0.0000
94,VE_21,VE_28,0.0000,2.0802,0.3098,0.0000
95,VE_21,VE_29,0.0000,2.3968,-0.2123,0.0000
96,VE_21,VE_30,1.0000,1.7180,1.1272,1.0000
97,VE_21,VE_31,0.0000,1.7467,0.0199,0.0000
98,VE_21,VE_32,0.1177,-1.7411,0.8101,0.3924
99,VE_22,VE_23,0.0000,6.6946,-0.6285,0.0000
100,VE_22,VE_24,0.0000,-8.2573,-0.1417,0.0000
101,VE_22,VE_25,0.0087,5.9368,0.3740,0.0936
102,VE_22,VE_26,0.0000,3.1636,-0.9593,0.0000
103,VE_22,VE_27,0.0000,6.2985,-0.9516,0.0000
104,VE_22,VE_28,0.9423,2.7631,1.6599,0.5838
